Key;Country Relation;Country Relation Vice Versa;Origin Country;Destination Country;GDP WB origin;GDP WB Destination;Lat Origin;Lon Origin;Lat Destination;Lon Destination;Distance
AT_BG-150;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;150
AT_BG-200;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;200
AT_BG-250;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;250
AT_BG-300;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;300
AT_BG-350;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;350
AT_BG-400;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;400
AT_BG-500;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;500
AT_BG-600;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;600
AT_BG-700;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;700
AT_BG-800;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;800
AT_BG-900;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;900
AT_BG-1000;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;1000
AT_BG-1250;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;1250
AT_BG-1500;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;1500
AT_BG-1750;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;1750
AT_BG-2000;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;2000
AT_BG-2250;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;2250
AT_BG-2500;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;2500
AT_BG-2750;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;2750
AT_BG-3000;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;3000
AT_BG-3250;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;3250
AT_BG-3500;AT_BG;BG_AT;AT;BG;481796;77782;47516231;14550072;42733883;2548583;3500
AT_CH-40;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;40
AT_CH-75;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;75
AT_CH-100;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;100
AT_CH-150;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;150
AT_CH-200;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;200
AT_CH-250;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;250
AT_CH-300;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;300
AT_CH-350;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;350
AT_CH-400;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;400
AT_CH-500;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;500
AT_CH-600;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;600
AT_CH-700;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;700
AT_CH-800;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;800
AT_CH-900;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;900
AT_CH-1000;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;1000
AT_CH-1250;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;1250
AT_CH-1500;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;1500
AT_CH-1750;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;1750
AT_CH-2000;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;2000
AT_CH-2250;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;2250
AT_CH-2500;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;2500
AT_CH-2750;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;2750
AT_CH-3000;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;3000
AT_CH-3250;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;3250
AT_CH-3500;AT_CH;CH_AT;AT;CH;481796;824734;47516231;14550072;46818188;8227512;3500
AT_CZ-40;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;40
AT_CZ-75;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;75
AT_CZ-100;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;100
AT_CZ-150;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;150
AT_CZ-200;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;200
AT_CZ-250;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;250
AT_CZ-300;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;300
AT_CZ-350;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;350
AT_CZ-400;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;400
AT_CZ-500;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;500
AT_CZ-600;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;600
AT_CZ-700;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;700
AT_CZ-800;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;800
AT_CZ-900;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;900
AT_CZ-1000;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;1000
AT_CZ-1250;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;1250
AT_CZ-1500;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;1500
AT_CZ-1750;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;1750
AT_CZ-2000;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;2000
AT_CZ-2250;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;2250
AT_CZ-2500;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;2500
AT_CZ-2750;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;2750
AT_CZ-3000;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;3000
AT_CZ-3250;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;3250
AT_CZ-3500;AT_CZ;CZ_AT;AT;CZ;481796;276109;47516231;14550072;49817492;15472962;3500
AT_DE-40;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;40
AT_DE-75;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;75
AT_DE-100;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;100
AT_DE-150;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;150
AT_DE-200;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;200
AT_DE-250;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;250
AT_DE-300;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;300
AT_DE-350;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;350
AT_DE-400;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;400
AT_DE-500;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;500
AT_DE-600;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;600
AT_DE-700;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;700
AT_DE-800;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;800
AT_DE-900;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;900
AT_DE-1000;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;1000
AT_DE-1250;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;1250
AT_DE-1500;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;1500
AT_DE-1750;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;1750
AT_DE-2000;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;2000
AT_DE-2250;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;2250
AT_DE-2500;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;2500
AT_DE-2750;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;2750
AT_DE-3000;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;3000
AT_DE-3250;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;3250
AT_DE-3500;AT_DE;DE_AT;AT;DE;481796;4319286;47516231;14550072;51165691;10451526;3500
AT_DK-40;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;40
AT_DK-75;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;75
AT_DK-100;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;100
AT_DK-150;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;150
AT_DK-200;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;200
AT_DK-250;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;250
AT_DK-300;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;300
AT_DK-350;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;350
AT_DK-400;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;400
AT_DK-500;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;500
AT_DK-600;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;600
AT_DK-700;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;700
AT_DK-800;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;800
AT_DK-900;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;900
AT_DK-1000;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;1000
AT_DK-1250;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;1250
AT_DK-1500;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;1500
AT_DK-1750;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;1750
AT_DK-2000;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;2000
AT_DK-2250;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;2250
AT_DK-2500;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;2500
AT_DK-2750;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;2750
AT_DK-3000;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;3000
AT_DK-3250;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;3250
AT_DK-3500;AT_DK;DK_AT;AT;DK;481796;392570;47516231;14550072;5626392;9501785;3500
AT_EE-40;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;40
AT_EE-75;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;75
AT_EE-100;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;100
AT_EE-150;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;150
AT_EE-200;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;200
AT_EE-250;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;250
AT_EE-300;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;300
